date,value,value2
2020-03-01,54,27
2020-03-02,70,16
2020-03-03,58,28
2020-03-04,74,27
2020-03-05,50,25
2020-03-06,60,21
2020-03-07,57,22
2020-03-08,47,36
2020-03-09,62,30
2020-03-10,48,26
2020-03-11,47,16
2020-03-12,83,32
2020-03-13,78,16
2020-03-14,75,25
2020-03-15,100,30
2020-03-16,74,28
2020-03-17,63,58
2020-03-18,56,42
2020-03-19,90,45
2020-03-20,65,27
2020-03-21,58,31
2020-03-22,61,24
2020-03-23,88,39
2020-03-24,76,36
2020-03-25,57,42
2020-03-26,42,36
2020-03-27,47,35
2020-03-28,35,17
2020-03-29,21,31
2020-03-30,42,16
2020-03-31,24,35
2020-04-01,20,23
2020-04-02,24,24
2020-04-03,26,46
2020-04-04,37,51
2020-04-05,33,23
2020-04-06,17,30
2020-04-07,39,32
2020-04-08,23,14
2020-04-09,19,21
2020-04-10,22,14
2020-04-11,12,22
2020-04-12,24,6
2020-04-13,27,15
2020-04-14,37,9
2020-04-15,26,12
2020-04-16,22,12
2020-04-17,17,12
2020-04-18,20,16
2020-04-19,28,8
2020-04-20,29,17
2020-04-21,40,20
2020-04-22,27,8
2020-04-23,31,7
2020-04-24,26,9
2020-04-25,40,20
2020-04-26,47,18
2020-04-27,37,17
2020-04-28,40,7
2020-04-29,33,9
2020-04-30,26,17
2020-05-01,26,14
2020-05-02,41,2
2020-05-03,60,14
2020-05-04,34,14
2020-05-05,48,9
2020-05-06,35,18
2020-05-07,27,12
2020-05-08,41,17
2020-05-09,48,8
2020-05-10,38,18
2020-05-11,42,18
2020-05-12,36,11
2020-05-13,33,17
2020-05-14,50,11
2020-05-15,44,22
2020-05-16,45,14
2020-05-17,69,14
2020-05-18,32,20
2020-05-19,64,29
2020-05-20,44,24
2020-05-21,46,15
2020-05-22,37,11
2020-05-23,33,16
2020-05-24,39,17
2020-05-25,48,6
2020-05-26,38,15
2020-05-27,35,15
2020-05-28,27,15
2020-05-29,26,24
2020-05-30,40,10
2020-05-31,40,14
2020-06-01,56,15
2020-06-02,60,5
2020-06-03,67,21
2020-06-04,55,28
2020-06-05,41,23
2020-06-06,28,14
2020-06-07,51,22
2020-06-08,33,23
2020-06-09,59,12
2020-06-10,41,27
2020-06-11,40,14
2020-06-12,33,15
2020-06-13,22,10
2020-06-14,43,12
2020-06-15,56,58
2020-06-16,32,47
2020-06-17,29,18
2020-06-18,55,36
2020-06-19,45,19
2020-06-20,27,21
2020-06-21,32,30
2020-06-22,30,21
2020-06-23,31,11
2020-06-24,46,13
2020-06-25,24,26
2020-06-26,25,21
2020-06-27,35,21
2020-06-28,33,13
2020-06-29,28,19
2020-06-30,32,26
