date,value,singapore_hotels_search
2020-03-01,54.00,27
2020-03-02,70.00,16
2020-03-03,58.00,28
2020-03-04,74.00,27
2020-03-05,50.00,25
2020-03-06,60.00,21
2020-03-07,57.00,22
2020-03-08,47.00,36
2020-03-09,62.00,30
2020-03-10,48.00,26
2020-03-11,47.00,16
2020-03-12,83.00,32
2020-03-13,78.00,16
2020-03-14,75.00,25
2020-03-15,100.00,30
2020-03-16,74.00,28
2020-03-17,63.00,58
2020-03-18,56.00,42
2020-03-19,90.00,45
2020-03-20,65.00,27
2020-03-21,58.00,31
2020-03-22,61.00,24
2020-03-23,88.00,39
2020-03-24,76.00,36
2020-03-25,57.00,42
2020-03-26,42.00,36
2020-03-27,47.00,35
2020-03-28,35.00,17
2020-03-29,21.00,31
2020-03-30,42.00,16
2020-03-31,24.00,35
2020-04-01,20.00,23
2020-04-02,24.00,24
2020-04-03,26.00,46
2020-04-04,37.00,51
2020-04-05,33.00,23
2020-04-06,17.00,30
2020-04-07,39.00,32
2020-04-08,23.00,14
2020-04-09,19.00,21
2020-04-10,22.00,14
2020-04-11,12.00,22
2020-04-12,24.00,6
2020-04-13,27.00,15
2020-04-14,37.00,9
2020-04-15,26.00,12
2020-04-16,22.00,12
2020-04-17,17.00,12
2020-04-18,20.00,16
2020-04-19,28.00,8
2020-04-20,29.00,17
2020-04-21,40.00,20
2020-04-22,27.00,8
2020-04-23,31.00,7
2020-04-24,26.00,9
2020-04-25,40.00,20
2020-04-26,47.00,18
2020-04-27,37.00,17
2020-04-28,40.00,7
2020-04-29,33.00,9
2020-04-30,26.00,17
2020-05-01,26.00,14
2020-05-02,41.00,2
2020-05-03,60.00,14
2020-05-04,34.00,14
2020-05-05,48.00,9
2020-05-06,35.00,18
2020-05-07,27.00,12
2020-05-08,41.00,17
2020-05-09,48.00,8
2020-05-10,38.00,18
2020-05-11,42.00,18
2020-05-12,36.00,11
2020-05-13,33.00,17
2020-05-14,50.00,11
2020-05-15,44.00,22
2020-05-16,45.00,14
2020-05-17,69.00,14
2020-05-18,32.00,20
2020-05-19,64.00,29
2020-05-20,44.00,24
2020-05-21,46.00,15
2020-05-22,37.00,11
2020-05-23,33.00,16
2020-05-24,39.00,17
2020-05-25,48.00,6
2020-05-26,38.00,15
2020-05-27,35.00,15
2020-05-28,27.00,15
2020-05-29,26.00,24
2020-05-30,40.00,10
2020-05-31,40.00,14
2020-06-01,56.00,15
2020-06-02,60.00,5
2020-06-03,67.00,21
2020-06-04,55.00,28
2020-06-05,41.00,23
2020-06-06,28.00,14
2020-06-07,51.00,22
2020-06-08,33.00,23
2020-06-09,59.00,12
2020-06-10,41.00,27
2020-06-11,40.00,14
2020-06-12,33.00,15
2020-06-13,22.00,10
2020-06-14,43.00,12
2020-06-15,56.00,58
2020-06-16,32.00,47
2020-06-17,29.00,18
2020-06-18,55.00,36
2020-06-19,45.00,19
2020-06-20,27.00,21
2020-06-21,32.00,30
2020-06-22,30.00,21
2020-06-23,31.00,11
2020-06-24,46.00,13
2020-06-25,24.00,26
2020-06-26,25.00,21
2020-06-27,35.00,21
2020-06-28,33.00,13
2020-06-29,28.00,19
2020-06-30,32.00,26
