week,hour,value,Percentage
Wk 1 Mar,9am ,3050455,62%
Wk 1 Mar,12pm,3197411,64%
Wk 1 Mar,3pm,3207799,65%
Wk 1 Mar,6pm,3052639,62%
Wk 1 Mar,9pm,2561201,52%
Wk 2 Mar,9am ,3022488,61%
Wk 2 Mar,12pm,3179328,64%
Wk 2 Mar,3pm,3187236,64%
Wk 2 Mar,6pm,3037274,61%
Wk 2 Mar,9pm,2554087,52%
Wk 3 Mar,9am ,2982820,60%
Wk 3 Mar,12pm,3144237,63%
Wk 3 Mar,3pm,3172654,64%
Wk 3 Mar,6pm,3026298,61%
Wk 3 Mar,9pm,2574403,52%
Wk 4 Mar,9am ,3020342,61%
Wk 4 Mar,12pm,3020342,64%
Wk 4 Mar,3pm,3180332,64%
Wk 4 Mar,6pm,3033822,61%
Wk 4 Mar,9pm,2567733,52%
Wk 5 Mar,9am ,3019429,61%
Wk 5 Mar,12pm,3166995,64%
Wk 5 Mar,3pm,3183161,64%
Wk 5 Mar,6pm,3022004,61%
Wk 5 Mar,9pm,2574417,52%
Wk 1 Apr,9am ,2677256,54%
Wk 1 Apr,12pm,2737531,55%
Wk 1 Apr,3pm,2761324,56%
Wk 1 Apr,6pm,2681767,54%
Wk 1 Apr,9pm,2426294,49%
Wk 2 Apr,9am ,2644190,53%
Wk 2 Apr,12pm,2714534,55%
Wk 2 Apr,3pm,2701799,54%
Wk 2 Apr,6pm,2614582,53%
Wk 2 Apr,9pm,2390630,48%
Wk 3 Apr,9am ,2641444,53%
Wk 3 Apr,12pm,2732446,55%
Wk 3 Apr,3pm,2706750,55%
Wk 3 Apr,6pm,2629451,53%
Wk 3 Apr,9pm,2503139,50%
Wk 4 Apr,9am ,2582438,52%
Wk 4 Apr,12pm,2666283,54%
Wk 4 Apr,3pm,2674800,54%
Wk 4 Apr,6pm,2603742,53%
Wk 4 Apr,9pm,2416467,49%
Wk 1 May,9am ,2601701,52%
Wk 1 May,12pm,2708255,55%
Wk 1 May,3pm,2694170,54%
Wk 1 May,6pm,2633641,53%
Wk 1 May,9pm,2497995,50%
Wk 2 May,9am ,2649950,53%
Wk 2 May,12pm,2763317,56%
Wk 2 May,3pm,2758559,56%
Wk 2 May,6pm,2674551,54%
Wk 2 May,9pm,2487165,50%
Wk 3 May,9am ,2633922,53%
Wk 3 May,12pm,2738577,55%
Wk 3 May,3pm,2719105,55%
Wk 3 May,6pm,2657600,54%
Wk 3 May,9pm,2442129,49%
Wk 4 May,9am ,2597410,52%
Wk 4 May,12pm,2719698,55%
Wk 4 May,3pm,2675766,54%
Wk 4 May,6pm,2622442,53%
Wk 4 May,9pm,2436896,49%
Wk 1 Jun,9am ,2766615,56%
Wk 1 Jun,12pm,2881111,58%
Wk 1 Jun,3pm,2865886,58%
Wk 1 Jun,6pm,2728067,55%
Wk 1 Jun,9pm,2392560,48%
Wk 2 Jun,9am ,2774340,56%
Wk 2 Jun,12pm,2882657,58%
Wk 2 Jun,3pm,2882044,58%
Wk 2 Jun,6pm,2739965,55%
Wk 2 Jun,9pm,2377133,48%
Wk 3 Jun,9am ,2796213,56%
Wk 3 Jun,12pm,2951731,60%
Wk 3 Jun,3pm,2922355,59%
Wk 3 Jun,6pm,2788579,56%
Wk 3 Jun,9pm,2415572,49%
Wk 4 Jun,9am ,2812568,57%
Wk 4 Jun,12pm,3007456,61%
Wk 4 Jun,3pm,3006410,61%
Wk 4 Jun,6pm,2862901,58%
Wk 4 Jun,9pm,2480234,50%
Wk 5 Jun,9am ,2843281,57%
Wk 5 Jun,12pm,3032558,61%
Wk 5 Jun,3pm,3030828,61%
Wk 5 Jun,6pm,2881295,58%
Wk 5 Jun,9pm,2490868,50%
